"","Day","theta","MRS","MeanAngle","StdAngle","COM"
"161","Angular",1.6,31914392300.9306,-0.729552089650724,16573.5041108195,0
"162","Angular",1.61,31168777354.2043,-0.682526216777219,16573.5041108195,3.5527136788005e-15
"163","Angular",1.62,30215591070.3991,-0.636566478586843,16573.5041108195,0
"164","Angular",1.63,29833212130.4782,-0.591718731110561,16573.5041108195,0
"165","Angular",1.64,29306126083.8152,-0.548027614848209,16573.5041108195,1.4210854715202e-14
"166","Angular",1.65,28596429142.7405,-0.505536508624346,16573.5041108195,0
"167","Angular",1.66,28227307576.2861,-0.464287485532168,16573.5041108195,0
"168","Angular",1.67,28032247070.6977,-0.424321271014136,16573.5041108195,0
"169","Angular",1.68,28211477225.8061,-0.38567720311913,16573.5041108195,0
"170","Angular",1.69,28122625729.1449,-0.348393194966988,16573.5041108195,0
"171","Angular",1.7,28115321211.9456,-0.312505699442198,16573.5041108195,1.4210854715202e-14
"172","Angular",1.71,28174075843.0052,-0.278049676129754,16573.5041108195,1.4210854715202e-14
"173","Angular",1.72,28393588718.0148,-0.245058560498023,16573.5041108195,0
"174","Angular",1.73,28687712587.1791,-0.213564235324881,16573.5041108195,3.5527136788005e-15
"175","Angular",1.74,28886228418.8369,-0.183597004355917,16573.5041108195,1.4210854715202e-14
"176","Angular",1.75,29266054509.1154,-0.155185568175753,16573.5041108195,3.5527136788005e-15
"177","Angular",1.76,29728326400.2297,-0.128357002267038,16573.5041108195,3.5527136788005e-15
"178","Angular",1.77,30415843174.4853,-0.103136737224958,16573.5041108195,0
"179","Angular",1.78,30800422497.2512,-0.0795485410892525,16573.5041108195,0
"180","Angular",1.79,31361086972.4372,-0.0576145037505995,16573.5041108195,0
"181","Angular",1.8,31856409701.0884,-0.0373550233836113,16573.5041108195,0
"182","Angular",1.81,32302721398.5761,-0.0187887948541032,16573.5041108195,0
"183","Angular",1.82,33102925703.992,-0.00193280004552321,16573.5041108195,1.46482137552712e-14
"184","Angular",1.83,33360310958.8669,0.0131976999536931,16573.5041108195,3.5527136788005e-15
"185","Angular",1.84,33389416339.0414,0.0265891708626071,16573.5041108195,0
"186","Angular",1.85,33121719562.3303,0.0382298094815354,16573.5041108195,1.4210854715202e-14
"187","Angular",1.86,32196416175.2059,0.0481095462906467,16573.5041108195,3.5527136788005e-15
"188","Angular",1.87,31013553315.4573,0.0562200464362377,16573.5041108195,0
"189","Angular",1.88,29585739379.5439,0.0625547091678698,16573.5041108195,3.5527136788005e-15
"190","Angular",1.89,27699475099.7221,0.0671086657891635,16573.5041108195,1.4210854715202e-14
"191","Angular",1.9,25701666113.7221,0.0698787761825486,16573.5041108195,1.46482137552712e-14
"192","Angular",1.91,23898923462.0535,0.0708636239681368,16573.5041108195,0
"193","Angular",1.92,21628713197.7223,0.0700635103533074,16573.5041108195,0
"194","Angular",1.93,19506785539.0118,0.0674804467278278,16573.5041108195,0
"195","Angular",1.94,17164463044.2387,0.0631181460560839,16573.5041108195,0
"196","Angular",1.95,15070736133.7909,0.0569820131146486,16573.5041108195,0
"197","Angular",1.96,12336635744.5175,0.0490791336200971,16573.5041108195,1.4210854715202e-14
"198","Angular",1.97,10100064405.616,0.0394182622877537,16573.5041108195,1.46482137552712e-14
"199","Angular",1.98,8175310624.1088,0.0280098098587018,16573.5041108195,0
"200","Angular",1.99,6102611380.48532,0.0148658291276291,16573.5041108195,1.4210854715202e-14
"201","Angular",2,0,0,16573.5041108195,0
