YEAR  MO  DA  HR      LAT       LON   CO2 20000
2012   8  16   0  40.1368  -95.9175  0.9767E-07
2012   8  16   0  40.1868  -95.9175  0.8555E-07
2012   8  16   0  40.2368  -95.9175  0.6766E-07
2012   8  16   0  40.2868  -95.9175  0.4908E-07
2012   8  16   0  40.3368  -95.9175  0.3461E-07
2012   8  16   0  40.3868  -95.9175  0.2528E-07
2012   8  16   0  40.4368  -95.9175  0.1943E-07
2012   8  16   0  40.4868  -95.9175  0.1485E-07
2012   8  16   0  40.5368  -95.9175  0.1210E-07
2012   8  16   0  40.5868  -95.9175  0.8078E-08
2012   8  16   0  40.6368  -95.9175  0.6518E-08
2012   8  16   0  40.6868  -95.9175  0.5151E-08
2012   8  16   0  40.7368  -95.9175  0.4037E-08
2012   8  16   0  40.7868  -95.9175  0.3361E-08
2012   8  16   0  40.8368  -95.9175  0.2782E-08
2012   8  16   0  40.8868  -95.9175  0.1822E-08
2012   8  16   0  40.9368  -95.9175  0.1759E-08
2012   8  16   0  40.9868  -95.9175  0.1543E-08
2012   8  16   0  41.0368  -95.9175  0.1079E-08
2012   8  16   0  41.0868  -95.9175  0.8610E-09
2012   8  16   0  41.1368  -95.9175  0.8255E-09
2012   8  16   0  41.1868  -95.9175  0.7316E-09
2012   8  16   0  41.2368  -95.9175  0.6270E-09
2012   8  16   0  41.2868  -95.9175  0.1948E-09
2012   8  16   0  41.3368  -95.9175  0.5312E-09
2012   8  16   0  41.3868  -95.9175  0.3810E-09
2012   8  16   0  41.4368  -95.9175  0.4333E-09
2012   8  16   0  41.4868  -95.9175  0.3459E-09
2012   8  16   0  41.5368  -95.9175  0.3518E-09
2012   8  16   0  41.5868  -95.9175  0.4557E-10
2012   8  16   0  41.6368  -95.9175  0.1368E-09
2012   8  16   0  42.2368  -95.9175  0.9724E-10
2012   8  16   0  42.2868  -95.9175  0.1453E-09
2012   8  16   0  39.5368  -95.8675  0.2158E-08
2012   8  16   0  39.5868  -95.8675  0.9670E-08
2012   8  16   0  39.6368  -95.8675  0.1987E-07
2012   8  16   0  39.6868  -95.8675  0.3102E-07
2012   8  16   0  39.7368  -95.8675  0.3540E-07
2012   8  16   0  39.7868  -95.8675  0.3951E-07
2012   8  16   0  39.8368  -95.8675  0.3419E-07
2012   8  16   0  39.8868  -95.8675  0.4047E-07
2012   8  16   0  39.9368  -95.8675  0.4692E-07
2012   8  16   0  39.9868  -95.8675  0.6293E-07
2012   8  16   0  40.0368  -95.8675  0.9165E-07
2012   8  16   0  40.0868  -95.8675  0.1145E-06
2012   8  16   0  40.1368  -95.8675  0.1088E-06
2012   8  16   0  40.1868  -95.8675  0.9881E-07
2012   8  16   0  40.2368  -95.8675  0.8772E-07
2012   8  16   0  40.2868  -95.8675  0.8129E-07
2012   8  16   0  40.3368  -95.8675  0.7131E-07
2012   8  16   0  40.3868  -95.8675  0.5864E-07
2012   8  16   0  40.4368  -95.8675  0.4351E-07
2012   8  16   0  40.4868  -95.8675  0.3098E-07
